Year,Units,Series,Ebene,Value
2021,Prozent,a) Vergabeverfahren bei denen mindestens ein Nachhaltigkeitskriterium berücksichtigt wurde,,12.59
2021,Prozent,a) Vergabeverfahren bei denen mindestens ein Nachhaltigkeitskriterium berücksichtigt wurde,Bundesebene,9.26
2021,Prozent,a) Vergabeverfahren bei denen mindestens ein Nachhaltigkeitskriterium berücksichtigt wurde,Landesebene,18.5
2021,Prozent,a) Vergabeverfahren bei denen mindestens ein Nachhaltigkeitskriterium berücksichtigt wurde,Kommunale Ebene,10.8
2021,Prozent,a) Vergabeverfahren bei denen mindestens ein Nachhaltigkeitskriterium berücksichtigt wurde,Sonstige Auftraggebenden,8.42
2015,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,,100.0
2016,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,,99.978
2017,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,,100.046
2018,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,,99.985
2019,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,,100.63
2020,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,,101.773
2021,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,,102.739
2020,2015 = 100,c) Nachhaltig beschaffte Textilien,,
