Year,Units,Series,Value
1990,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
1991,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
1992,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
1993,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
1994,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,116.598
1995,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,110.944
1996,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,109.076
1997,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,107.48
1998,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,107.768
1999,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,108.692
2000,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,109.088
2001,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,107.864
2002,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,108.198
2003,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,107.682
2004,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,104.92
2005,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,102.33
2006,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,103.108
2007,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,102.03
2008,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,101.574
2009,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,98.794
2010,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,96.366
2011,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,96.498
2012,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,95.052
2013,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,93.56
2014,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,94.316
2015,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,97.272
2016,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,96.282
2017,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,96.194
2018,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,94.884
2019,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,92.946
2020,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,88.004
2021,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,81.57
2022,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
2023,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
2030,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
1990,Kilogramm pro Hektar,Berechnete jährliche Werte,141.46
1991,Kilogramm pro Hektar,Berechnete jährliche Werte,117.06
1992,Kilogramm pro Hektar,Berechnete jährliche Werte,111.91
1993,Kilogramm pro Hektar,Berechnete jährliche Werte,106.29
1994,Kilogramm pro Hektar,Berechnete jährliche Werte,106.27
1995,Kilogramm pro Hektar,Berechnete jährliche Werte,113.19
1996,Kilogramm pro Hektar,Berechnete jährliche Werte,107.72
1997,Kilogramm pro Hektar,Berechnete jährliche Werte,103.93
1998,Kilogramm pro Hektar,Berechnete jährliche Werte,107.73
1999,Kilogramm pro Hektar,Berechnete jährliche Werte,110.89
2000,Kilogramm pro Hektar,Berechnete jährliche Werte,115.17
2001,Kilogramm pro Hektar,Berechnete jährliche Werte,101.6
2002,Kilogramm pro Hektar,Berechnete jährliche Werte,105.6
2003,Kilogramm pro Hektar,Berechnete jährliche Werte,105.15
2004,Kilogramm pro Hektar,Berechnete jährliche Werte,97.08
2005,Kilogramm pro Hektar,Berechnete jährliche Werte,102.22
2006,Kilogramm pro Hektar,Berechnete jährliche Werte,105.49
2007,Kilogramm pro Hektar,Berechnete jährliche Werte,100.21
2008,Kilogramm pro Hektar,Berechnete jährliche Werte,102.87
2009,Kilogramm pro Hektar,Berechnete jährliche Werte,83.18
