Year,Units,Series,Value
1999,Prozent,Daten des Statistischen Bundesamtes,2.852
2000,Prozent,Daten des Statistischen Bundesamtes,
2001,Prozent,Daten des Statistischen Bundesamtes,3.573
2002,Prozent,Daten des Statistischen Bundesamtes,
2003,Prozent,Daten des Statistischen Bundesamtes,4.299
2004,Prozent,Daten des Statistischen Bundesamtes,
2005,Prozent,Daten des Statistischen Bundesamtes,4.593
2006,Prozent,Daten des Statistischen Bundesamtes,
2007,Prozent,Daten des Statistischen Bundesamtes,5.079
2008,Prozent,Daten des Statistischen Bundesamtes,
2009,Prozent,Daten des Statistischen Bundesamtes,
2010,Prozent,Daten des Statistischen Bundesamtes,5.636
2011,Prozent,Daten des Statistischen Bundesamtes,
2012,Prozent,Daten des Statistischen Bundesamtes,5.76
2013,Prozent,Daten des Statistischen Bundesamtes,6.04
2014,Prozent,Daten des Statistischen Bundesamtes,6.18
2015,Prozent,Daten des Statistischen Bundesamtes,6.34
2016,Prozent,Daten des Statistischen Bundesamtes,6.82
2017,Prozent,Daten des Statistischen Bundesamtes,6.82
2018,Prozent,Daten des Statistischen Bundesamtes,7.34
2019,Prozent,Daten des Statistischen Bundesamtes,7.75
2020,Prozent,Daten des Statistischen Bundesamtes,9.59
2021,Prozent,Daten des Statistischen Bundesamtes,9.65
2022,Prozent,Daten des Statistischen Bundesamtes,9.77
2023,Prozent,Daten des Statistischen Bundesamtes,11.17
2030,Prozent,Daten des Statistischen Bundesamtes,
1999,Prozent,Daten des BMEL,2.6
2000,Prozent,Daten des BMEL,3.2
2001,Prozent,Daten des BMEL,3.7
2002,Prozent,Daten des BMEL,4.1
2003,Prozent,Daten des BMEL,4.3
2004,Prozent,Daten des BMEL,4.5
2005,Prozent,Daten des BMEL,4.7
2006,Prozent,Daten des BMEL,4.9
2007,Prozent,Daten des BMEL,5.1
2008,Prozent,Daten des BMEL,5.4
2009,Prozent,Daten des BMEL,5.6
2010,Prozent,Daten des BMEL,5.9
2011,Prozent,Daten des BMEL,6.1
2012,Prozent,Daten des BMEL,6.2
2013,Prozent,Daten des BMEL,6.3
2014,Prozent,Daten des BMEL,6.3
2015,Prozent,Daten des BMEL,6.5
2016,Prozent,Daten des BMEL,7.5
2017,Prozent,Daten des BMEL,8.2
2018,Prozent,Daten des BMEL,9.1
2019,Prozent,Daten des BMEL,9.7
2020,Prozent,Daten des BMEL,10.3
2021,Prozent,Daten des BMEL,10.9
2022,Prozent,Daten des BMEL,11.2
2023,Prozent,Daten des BMEL,
2030,Prozent,Daten des BMEL,
