Year,Units,Zeitreihe,Value
1991,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),234.6
1992,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),225.0
1993,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),222.9
1994,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),216.4
1995,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),212.2
1996,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),208.2
1997,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),199.6
1998,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),193.3
1999,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),188.8
2000,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),184.3
2001,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),179.0
2002,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),177.0
2003,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),173.2
2004,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),166.4
2005,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),164.7
2006,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),159.2
2007,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),157.9
2008,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),158.8
2009,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),157.4
2010,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),155.4
2011,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),157.1
2012,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),152.9
2013,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),155.8
2014,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),149.1
2015,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),153.0
2016,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),151.6
2017,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),148.7
2018,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),151.1
2019,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),145.9
2020,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),145.4
2021,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),151.8
2022,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),152.7
2030,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Frauen),
1991,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),491.9
1992,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),476.2
1993,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),471.5
1994,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),461.0
1995,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),451.4
1996,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),439.4
1997,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),422.0
1998,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),404.3
1999,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),391.7
2000,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),381.8
2001,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),366.5
2002,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),360.0
2003,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),355.5
2004,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),337.3
2005,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),329.4
2006,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),318.4
2007,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),312.9
2008,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),307.8
2009,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),304.8
2010,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),300.6
2011,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),298.7
2012,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),292.3
2013,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),291.9
2014,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),281.2
2015,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),288.1
2016,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),283.8
2017,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),276.0
2018,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),279.3
2019,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),271.0
2020,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),276.3
2021,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),289.9
2022,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),283.7
2030,Je 100 000 Einwohner/-innen,Vorzeitig Gestorbene (Männer),
