Year,Units,Series,Value
2008,2008 = 100,Endenergieproduktivität,100.0
2009,2008 = 100,Endenergieproduktivität,100.481
2010,2008 = 100,Endenergieproduktivität,98.181
2011,2008 = 100,Endenergieproduktivität,106.199
2012,2008 = 100,Endenergieproduktivität,105.685
2013,2008 = 100,Endenergieproduktivität,103.932
2014,2008 = 100,Endenergieproduktivität,112.208
2015,2008 = 100,Endenergieproduktivität,110.543
2016,2008 = 100,Endenergieproduktivität,112.086
2017,2008 = 100,Endenergieproduktivität,114.05
2018,2008 = 100,Endenergieproduktivität,116.599
2019,2008 = 100,Endenergieproduktivität,117.96
2020,2008 = 100,Endenergieproduktivität,121.194
2021,2008 = 100,Endenergieproduktivität,120.506
2022,2008 = 100,Endenergieproduktivität,126.482
2008,2008 = 100,Primärenergieverbrauch,100.0
2009,2008 = 100,Primärenergieverbrauch,93.945
2010,2008 = 100,Primärenergieverbrauch,98.304
2011,2008 = 100,Primärenergieverbrauch,94.048
2012,2008 = 100,Primärenergieverbrauch,94.75
2013,2008 = 100,Primärenergieverbrauch,96.71
2014,2008 = 100,Primärenergieverbrauch,92.085
2015,2008 = 100,Primärenergieverbrauch,93.031
2016,2008 = 100,Primärenergieverbrauch,93.905
2017,2008 = 100,Primärenergieverbrauch,94.062
2018,2008 = 100,Primärenergieverbrauch,91.704
2019,2008 = 100,Primärenergieverbrauch,89.132
2020,2008 = 100,Primärenergieverbrauch,82.719
2021,2008 = 100,Primärenergieverbrauch,86.59
2022,2008 = 100,Primärenergieverbrauch,81.768
2023,2008 = 100,Primärenergieverbrauch,75.095
2030,2008 = 100,Primärenergieverbrauch,
