Year,Units,Zeitreihe,Value
2010,2010 = 100,Gesamtrohstoffproduktivität,100.0
2011,2010 = 100,Gesamtrohstoffproduktivität,97.4
2012,2010 = 100,Gesamtrohstoffproduktivität,101.7
2013,2010 = 100,Gesamtrohstoffproduktivität,101.7
2014,2010 = 100,Gesamtrohstoffproduktivität,102.6
2015,2010 = 100,Gesamtrohstoffproduktivität,106.8
2016,2010 = 100,Gesamtrohstoffproduktivität,106.0
2017,2010 = 100,Gesamtrohstoffproduktivität,109.4
2018,2010 = 100,Gesamtrohstoffproduktivität,109.4
2019,2010 = 100,Gesamtrohstoffproduktivität,112.8
2020,2010 = 100,Gesamtrohstoffproduktivität,112.0
2021,2010 = 100,Gesamtrohstoffproduktivität,114.5
2030,2010 = 100,Gesamtrohstoffproduktivität,
2010,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",100.0
2011,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",106.8
2012,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",102.9
2013,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",103.9
2014,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",105.8
2015,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",104.9
2016,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",108.7
2017,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",108.7
2018,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",110.7
2019,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",108.7
2020,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",104.9
2021,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",106.8
2030,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",
2010,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",100.0
2011,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",105.0
2012,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",105.0
2013,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",106.7
2014,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",109.2
2015,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",112.5
2016,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",115.8
2017,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",119.2
2018,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",121.7
2019,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",123.3
2020,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",117.5
2021,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",122.5
2030,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",
