Year,Units,Value
1991,Prozent,39.0
1992,Prozent,41.5
1993,Prozent,45.1
1994,Prozent,47.5
1995,Prozent,54.9
1996,Prozent,57.8
1997,Prozent,58.9
1998,Prozent,59.5
1999,Prozent,60.4
2000,Prozent,59.3
2001,Prozent,58.2
2002,Prozent,59.9
2003,Prozent,63.5
2004,Prozent,65.2
2005,Prozent,67.5
2006,Prozent,66.9
2007,Prozent,64.2
2008,Prozent,65.7
2009,Prozent,73.2
2010,Prozent,82.0
2011,Prozent,79.4
2012,Prozent,80.7
2013,Prozent,78.3
2014,Prozent,75.3
2015,Prozent,71.9
2016,Prozent,69.0
2017,Prozent,65.2
2018,Prozent,61.9
2019,Prozent,59.6
2020,Prozent,68.8
2021,Prozent,69.0
2022,Prozent,66.1
2023,Prozent,63.7
