Year,Units,Value
1991,Prozent,2.4
1992,Prozent,2.28
1993,Prozent,2.21
1994,Prozent,2.13
1995,Prozent,2.14
1996,Prozent,2.19
1997,Prozent,2.35
1998,Prozent,2.41
1999,Prozent,2.4
2000,Prozent,2.44
2001,Prozent,2.4
2002,Prozent,2.44
2003,Prozent,2.47
2004,Prozent,2.44
2005,Prozent,2.44
2006,Prozent,2.47
2007,Prozent,2.46
2008,Prozent,2.62
2009,Prozent,2.74
2010,Prozent,2.73
2011,Prozent,2.81
2012,Prozent,2.88
2013,Prozent,2.84
2014,Prozent,2.88
2015,Prozent,2.93
2016,Prozent,2.94
2017,Prozent,3.05
2018,Prozent,3.11
2019,Prozent,3.17
2020,Prozent,3.13
2021,Prozent,3.13
2022,Prozent,3.13
2025,Prozent,
