Year,Units,Series,Geschlecht,Value
1996,Prozent,Ausländer,,80.4
1997,Prozent,Ausländer,,80.6
1998,Prozent,Ausländer,,80.5
1999,Prozent,Ausländer,,80.7
2000,Prozent,Ausländer,,80.1
2001,Prozent,Ausländer,,79.8
2002,Prozent,Ausländer,,80.6
2003,Prozent,Ausländer,,80.9
2004,Prozent,Ausländer,,81.9
2005,Prozent,Ausländer,,82.6
2006,Prozent,Ausländer,,83.2
2007,Prozent,Ausländer,,84.0
2008,Prozent,Ausländer,,85.0
2009,Prozent,Ausländer,,86.2
2010,Prozent,Ausländer,,87.2
2011,Prozent,Ausländer,,88.2
2012,Prozent,Ausländer,,88.6
2013,Prozent,Ausländer,,89.3
2014,Prozent,Ausländer,,88.5
2015,Prozent,Ausländer,,88.2
2016,Prozent,Ausländer,,85.8
2017,Prozent,Ausländer,,81.8
2018,Prozent,Ausländer,,81.8
2019,Prozent,Ausländer,,82.4
2020,Prozent,Ausländer,,85.3
2021,Prozent,Ausländer,,84.3
2022,Prozent,Ausländer,,84.0
2030,Prozent,Ausländer,,
1996,Prozent,Ausländer,Weiblich,84.5
1997,Prozent,Ausländer,Weiblich,84.7
1998,Prozent,Ausländer,Weiblich,84.5
1999,Prozent,Ausländer,Weiblich,84.9
2000,Prozent,Ausländer,Weiblich,84.3
2001,Prozent,Ausländer,Weiblich,84.3
2002,Prozent,Ausländer,Weiblich,84.4
2003,Prozent,Ausländer,Weiblich,84.6
2004,Prozent,Ausländer,Weiblich,85.8
2005,Prozent,Ausländer,Weiblich,86.4
2006,Prozent,Ausländer,Weiblich,86.5
2007,Prozent,Ausländer,Weiblich,87.0
2008,Prozent,Ausländer,Weiblich,87.9
2009,Prozent,Ausländer,Weiblich,88.5
2010,Prozent,Ausländer,Weiblich,89.5
2011,Prozent,Ausländer,Weiblich,90.3
2012,Prozent,Ausländer,Weiblich,90.6
2013,Prozent,Ausländer,Weiblich,91.1
2014,Prozent,Ausländer,Weiblich,90.4
2015,Prozent,Ausländer,Weiblich,90.3
2016,Prozent,Ausländer,Weiblich,89.1
2017,Prozent,Ausländer,Weiblich,86.4
2018,Prozent,Ausländer,Weiblich,85.6
2019,Prozent,Ausländer,Weiblich,85.8
2020,Prozent,Ausländer,Weiblich,88.0
2021,Prozent,Ausländer,Weiblich,87.4
2022,Prozent,Ausländer,Weiblich,86.9
1996,Prozent,Ausländer,Männlich,76.7
1997,Prozent,Ausländer,Männlich,76.8
1998,Prozent,Ausländer,Männlich,76.9
1999,Prozent,Ausländer,Männlich,76.9
2000,Prozent,Ausländer,Männlich,76.2
2001,Prozent,Ausländer,Männlich,75.8
2002,Prozent,Ausländer,Männlich,76.9
2003,Prozent,Ausländer,Männlich,77.4
2004,Prozent,Ausländer,Männlich,78.3
2005,Prozent,Ausländer,Männlich,79.1
2006,Prozent,Ausländer,Männlich,80.2
2007,Prozent,Ausländer,Männlich,81.2
2008,Prozent,Ausländer,Männlich,82.3
2009,Prozent,Ausländer,Männlich,83.9
2010,Prozent,Ausländer,Männlich,85.0
2011,Prozent,Ausländer,Männlich,86.2
2012,Prozent,Ausländer,Männlich,86.7
2013,Prozent,Ausländer,Männlich,87.6
2014,Prozent,Ausländer,Männlich,86.8
2015,Prozent,Ausländer,Männlich,86.2
2016,Prozent,Ausländer,Männlich,82.9
2017,Prozent,Ausländer,Männlich,78.0
2018,Prozent,Ausländer,Männlich,78.8
2019,Prozent,Ausländer,Männlich,79.5
2020,Prozent,Ausländer,Männlich,83.0
2021,Prozent,Ausländer,Männlich,81.6
2022,Prozent,Ausländer,Männlich,81.4
1996,Prozent,Deutsche,,92.3
1997,Prozent,Deutsche,,92.3
1998,Prozent,Deutsche,,92.1
1999,Prozent,Deutsche,,92.0
2000,Prozent,Deutsche,,91.7
2001,Prozent,Deutsche,,91.3
2002,Prozent,Deutsche,,91.8
2003,Prozent,Deutsche,,92.1
2004,Prozent,Deutsche,,92.6
2005,Prozent,Deutsche,,92.8
2006,Prozent,Deutsche,,93.1
2007,Prozent,Deutsche,,93.6
2008,Prozent,Deutsche,,93.8
2009,Prozent,Deutsche,,94.2
2010,Prozent,Deutsche,,94.6
2011,Prozent,Deutsche,,95.0
2012,Prozent,Deutsche,,95.1
2013,Prozent,Deutsche,,95.4
2014,Prozent,Deutsche,,95.1
2015,Prozent,Deutsche,,95.0
2016,Prozent,Deutsche,,95.1
2017,Prozent,Deutsche,,94.8
2018,Prozent,Deutsche,,94.6
2019,Prozent,Deutsche,,94.5
2020,Prozent,Deutsche,,94.9
2021,Prozent,Deutsche,,94.9
2022,Prozent,Deutsche,,94.3
2030,Prozent,Deutsche,,
1996,Prozent,Deutsche,Weiblich,94.5
1997,Prozent,Deutsche,Weiblich,94.6
1998,Prozent,Deutsche,Weiblich,94.4
1999,Prozent,Deutsche,Weiblich,94.2
2000,Prozent,Deutsche,Weiblich,94.1
2001,Prozent,Deutsche,Weiblich,93.7
2002,Prozent,Deutsche,Weiblich,94.0
2003,Prozent,Deutsche,Weiblich,94.2
2004,Prozent,Deutsche,Weiblich,94.6
2005,Prozent,Deutsche,Weiblich,94.7
2006,Prozent,Deutsche,Weiblich,94.8
2007,Prozent,Deutsche,Weiblich,95.2
2008,Prozent,Deutsche,Weiblich,95.2
2009,Prozent,Deutsche,Weiblich,95.5
2010,Prozent,Deutsche,Weiblich,95.8
2011,Prozent,Deutsche,Weiblich,96.0
2012,Prozent,Deutsche,Weiblich,96.1
2013,Prozent,Deutsche,Weiblich,96.3
2014,Prozent,Deutsche,Weiblich,96.1
2015,Prozent,Deutsche,Weiblich,96.1
2016,Prozent,Deutsche,Weiblich,96.1
2017,Prozent,Deutsche,Weiblich,95.9
2018,Prozent,Deutsche,Weiblich,95.8
2019,Prozent,Deutsche,Weiblich,95.8
2020,Prozent,Deutsche,Weiblich,96.0
2021,Prozent,Deutsche,Weiblich,96.0
2022,Prozent,Deutsche,Weiblich,95.5
1996,Prozent,Deutsche,Männlich,90.1
1997,Prozent,Deutsche,Männlich,90.1
1998,Prozent,Deutsche,Männlich,89.8
1999,Prozent,Deutsche,Männlich,89.8
2000,Prozent,Deutsche,Männlich,89.3
2001,Prozent,Deutsche,Männlich,89.1
2002,Prozent,Deutsche,Männlich,89.6
2003,Prozent,Deutsche,Männlich,90.0
2004,Prozent,Deutsche,Männlich,90.6
2005,Prozent,Deutsche,Männlich,90.9
2006,Prozent,Deutsche,Männlich,91.4
2007,Prozent,Deutsche,Männlich,92.0
2008,Prozent,Deutsche,Männlich,92.5
2009,Prozent,Deutsche,Männlich,93.0
2010,Prozent,Deutsche,Männlich,93.4
2011,Prozent,Deutsche,Männlich,94.0
2012,Prozent,Deutsche,Männlich,94.1
2013,Prozent,Deutsche,Männlich,94.5
2014,Prozent,Deutsche,Männlich,94.1
2015,Prozent,Deutsche,Männlich,94.0
2016,Prozent,Deutsche,Männlich,94.1
2017,Prozent,Deutsche,Männlich,93.8
2018,Prozent,Deutsche,Männlich,93.5
2019,Prozent,Deutsche,Männlich,93.3
2020,Prozent,Deutsche,Männlich,93.8
2021,Prozent,Deutsche,Männlich,93.8
2022,Prozent,Deutsche,Männlich,93.0
1996,Prozentpunkte,Differenz,,11.9
1997,Prozentpunkte,Differenz,,11.7
1998,Prozentpunkte,Differenz,,11.6
1999,Prozentpunkte,Differenz,,11.3
2000,Prozentpunkte,Differenz,,11.6
2001,Prozentpunkte,Differenz,,11.5
2002,Prozentpunkte,Differenz,,11.2
2003,Prozentpunkte,Differenz,,11.1
2004,Prozentpunkte,Differenz,,10.7
2005,Prozentpunkte,Differenz,,10.2
2006,Prozentpunkte,Differenz,,9.8
2007,Prozentpunkte,Differenz,,9.6
2008,Prozentpunkte,Differenz,,8.8
2009,Prozentpunkte,Differenz,,8.1
2010,Prozentpunkte,Differenz,,7.4
2011,Prozentpunkte,Differenz,,6.8
2012,Prozentpunkte,Differenz,,6.5
2013,Prozentpunkte,Differenz,,6.1
2014,Prozentpunkte,Differenz,,7.1
2015,Prozentpunkte,Differenz,,6.8
2016,Prozentpunkte,Differenz,,9.2
2017,Prozentpunkte,Differenz,,12.8
2018,Prozentpunkte,Differenz,,12.8
2019,Prozentpunkte,Differenz,,12.2
2020,Prozentpunkte,Differenz,,9.6
2021,Prozentpunkte,Differenz,,10.5
2022,Prozentpunkte,Differenz,,10.3
2030,Prozentpunkte,Differenz,,
1996,Prozentpunkte,Differenz,Weiblich,10.0
1997,Prozentpunkte,Differenz,Weiblich,9.9
1998,Prozentpunkte,Differenz,Weiblich,9.9
1999,Prozentpunkte,Differenz,Weiblich,9.3
2000,Prozentpunkte,Differenz,Weiblich,9.8
2001,Prozentpunkte,Differenz,Weiblich,9.4
2002,Prozentpunkte,Differenz,Weiblich,9.6
2003,Prozentpunkte,Differenz,Weiblich,9.6
2004,Prozentpunkte,Differenz,Weiblich,8.8
2005,Prozentpunkte,Differenz,Weiblich,8.3
2006,Prozentpunkte,Differenz,Weiblich,8.3
2007,Prozentpunkte,Differenz,Weiblich,8.1
2008,Prozentpunkte,Differenz,Weiblich,7.3
2009,Prozentpunkte,Differenz,Weiblich,7.5
2010,Prozentpunkte,Differenz,Weiblich,6.6
2011,Prozentpunkte,Differenz,Weiblich,5.8
2012,Prozentpunkte,Differenz,Weiblich,5.3
2013,Prozentpunkte,Differenz,Weiblich,4.7
2014,Prozentpunkte,Differenz,Weiblich,6.4
2015,Prozentpunkte,Differenz,Weiblich,5.7
2016,Prozentpunkte,Differenz,Weiblich,6.9
2017,Prozentpunkte,Differenz,Weiblich,9.4
2018,Prozentpunkte,Differenz,Weiblich,10.2
2019,Prozentpunkte,Differenz,Weiblich,10.0
2020,Prozentpunkte,Differenz,Weiblich,8.0
2021,Prozentpunkte,Differenz,Weiblich,8.6
2022,Prozentpunkte,Differenz,Weiblich,8.7
1996,Prozentpunkte,Differenz,Männlich,13.4
1997,Prozentpunkte,Differenz,Männlich,13.3
1998,Prozentpunkte,Differenz,Männlich,12.9
1999,Prozentpunkte,Differenz,Männlich,12.9
2000,Prozentpunkte,Differenz,Männlich,13.1
2001,Prozentpunkte,Differenz,Männlich,13.2
2002,Prozentpunkte,Differenz,Männlich,12.7
2003,Prozentpunkte,Differenz,Männlich,12.6
2004,Prozentpunkte,Differenz,Männlich,12.3
2005,Prozentpunkte,Differenz,Männlich,11.8
2006,Prozentpunkte,Differenz,Männlich,11.3
2007,Prozentpunkte,Differenz,Männlich,10.8
2008,Prozentpunkte,Differenz,Männlich,10.2
2009,Prozentpunkte,Differenz,Männlich,10.3
2010,Prozentpunkte,Differenz,Männlich,9.0
2011,Prozentpunkte,Differenz,Männlich,7.9
2012,Prozentpunkte,Differenz,Männlich,7.1
2013,Prozentpunkte,Differenz,Männlich,5.9
2014,Prozentpunkte,Differenz,Männlich,6.5
2015,Prozentpunkte,Differenz,Männlich,7.6
2016,Prozentpunkte,Differenz,Männlich,10.9
2017,Prozentpunkte,Differenz,Männlich,15.7
2018,Prozentpunkte,Differenz,Männlich,14.7
2019,Prozentpunkte,Differenz,Männlich,13.8
2020,Prozentpunkte,Differenz,Männlich,10.8
2021,Prozentpunkte,Differenz,Männlich,12.1
2022,Prozentpunkte,Differenz,Männlich,11.6
