Year,Units,Verstädterungsgrad,Value
2004,m² pro Jahr,,-5.156
2005,m² pro Jahr,,-5.03
2006,m² pro Jahr,,-4.908
2007,m² pro Jahr,,-4.789
2008,m² pro Jahr,,-4.67
2009,m² pro Jahr,,-4.389
2010,m² pro Jahr,,-4.095
2011,m² pro Jahr,,-4.268
2012,m² pro Jahr,,-3.83
2013,m² pro Jahr,,-3.657
2014,m² pro Jahr,,-3.704
2015,m² pro Jahr,,-2.891
2016,m² pro Jahr,,-2.731
2017,m² pro Jahr,,-2.78
2018,m² pro Jahr,,-2.809
2019,m² pro Jahr,,-2.775
2020,m² pro Jahr,,-2.842
2021,m² pro Jahr,,-2.715
2022,m² pro Jahr,,-2.239
2004,m² pro Jahr,Nicht-ländliche Gebiete,-1.828
2005,m² pro Jahr,Nicht-ländliche Gebiete,-1.794
2006,m² pro Jahr,Nicht-ländliche Gebiete,-1.762
2007,m² pro Jahr,Nicht-ländliche Gebiete,-1.729
2008,m² pro Jahr,Nicht-ländliche Gebiete,-1.696
2009,m² pro Jahr,Nicht-ländliche Gebiete,-1.573
2010,m² pro Jahr,Nicht-ländliche Gebiete,-1.499
2011,m² pro Jahr,Nicht-ländliche Gebiete,-1.411
2012,m² pro Jahr,Nicht-ländliche Gebiete,-1.243
2013,m² pro Jahr,Nicht-ländliche Gebiete,-1.191
2014,m² pro Jahr,Nicht-ländliche Gebiete,-1.056
2015,m² pro Jahr,Nicht-ländliche Gebiete,-0.96
2016,m² pro Jahr,Nicht-ländliche Gebiete,-0.651
2017,m² pro Jahr,Nicht-ländliche Gebiete,-0.647
2018,m² pro Jahr,Nicht-ländliche Gebiete,-0.577
2019,m² pro Jahr,Nicht-ländliche Gebiete,-0.482
2020,m² pro Jahr,Nicht-ländliche Gebiete,-0.654
2021,m² pro Jahr,Nicht-ländliche Gebiete,-0.54
2022,m² pro Jahr,Nicht-ländliche Gebiete,-0.508
2004,m² pro Jahr,Ländliche Gebiete,-7.528
2005,m² pro Jahr,Ländliche Gebiete,-7.34
2006,m² pro Jahr,Ländliche Gebiete,-7.159
2007,m² pro Jahr,Ländliche Gebiete,-6.986
2008,m² pro Jahr,Ländliche Gebiete,-6.816
2009,m² pro Jahr,Ländliche Gebiete,-6.431
2010,m² pro Jahr,Ländliche Gebiete,-5.986
2011,m² pro Jahr,Ländliche Gebiete,-6.364
2012,m² pro Jahr,Ländliche Gebiete,-5.734
2013,m² pro Jahr,Ländliche Gebiete,-5.48
2014,m² pro Jahr,Ländliche Gebiete,-5.669
2015,m² pro Jahr,Ländliche Gebiete,-4.331
2016,m² pro Jahr,Ländliche Gebiete,-4.292
2017,m² pro Jahr,Ländliche Gebiete,-4.388
2018,m² pro Jahr,Ländliche Gebiete,-4.502
2019,m² pro Jahr,Ländliche Gebiete,-4.517
2020,m² pro Jahr,Ländliche Gebiete,-4.509
2021,m² pro Jahr,Ländliche Gebiete,-4.374
2022,m² pro Jahr,Ländliche Gebiete,-3.562
