Year,Units,Series,Art der Klassifizierung,Value
1999,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,33.4
2000,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,33.0
2001,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,33.2
2002,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,33.3
2003,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,33.9
2004,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,36.2
2005,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,36.0
2006,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,36.5
2007,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,37.6
2008,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,38.8
2009,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,40.7
2010,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,41.3
2011,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,42.2
2012,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,43.4
2013,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,44.5
2014,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,45.7
2015,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,46.8
2016,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,47.9
2017,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,48.8
2018,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,49.8
2019,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,50.5
2020,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,52.3
2021,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,53.5
2022,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,53.4
2030,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,,
1999,Prozent,Fachkräftepotential mit beruflichem Abschluss,,49.4
2000,Prozent,Fachkräftepotential mit beruflichem Abschluss,,49.3
2001,Prozent,Fachkräftepotential mit beruflichem Abschluss,,49.7
2002,Prozent,Fachkräftepotential mit beruflichem Abschluss,,48.9
2003,Prozent,Fachkräftepotential mit beruflichem Abschluss,,48.6
2004,Prozent,Fachkräftepotential mit beruflichem Abschluss,,46.5
2005,Prozent,Fachkräftepotential mit beruflichem Abschluss,,44.7
2006,Prozent,Fachkräftepotential mit beruflichem Abschluss,,44.0
2007,Prozent,Fachkräftepotential mit beruflichem Abschluss,,43.5
2008,Prozent,Fachkräftepotential mit beruflichem Abschluss,,42.9
2009,Prozent,Fachkräftepotential mit beruflichem Abschluss,,41.2
2010,Prozent,Fachkräftepotential mit beruflichem Abschluss,,41.1
2011,Prozent,Fachkräftepotential mit beruflichem Abschluss,,40.5
2012,Prozent,Fachkräftepotential mit beruflichem Abschluss,,39.4
2013,Prozent,Fachkräftepotential mit beruflichem Abschluss,,38.7
2014,Prozent,Fachkräftepotential mit beruflichem Abschluss,,38.0
2015,Prozent,Fachkräftepotential mit beruflichem Abschluss,,36.9
2016,Prozent,Fachkräftepotential mit beruflichem Abschluss,,35.2
2017,Prozent,Fachkräftepotential mit beruflichem Abschluss,,34.3
2018,Prozent,Fachkräftepotential mit beruflichem Abschluss,,33.1
2019,Prozent,Fachkräftepotential mit beruflichem Abschluss,,32.2
2020,Prozent,Fachkräftepotential mit beruflichem Abschluss,,28.8
2021,Prozent,Fachkräftepotential mit beruflichem Abschluss,,26.0
2022,Prozent,Fachkräftepotential mit beruflichem Abschluss,,24.5
1999,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",8.6
2000,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",7.7
2001,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",8.1
2002,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",8.2
2003,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",8.8
2004,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",9.5
2005,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",9.9
2006,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",10.7
2007,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",11.1
2008,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",11.2
2009,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",11.4
2010,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",11.6
2011,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",11.6
2012,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",11.5
2013,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",11.4
2014,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",14.3
2015,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",14.5
2016,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",14.8
2017,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",14.8
2018,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",14.9
2019,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",15.0
2020,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",15.8
2021,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",14.6
2022,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,"Zweitausbildung, Ausbildung nach Abitur",14.3
1999,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,10.0
2000,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,10.3
2001,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,9.4
2002,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,9.6
2003,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,9.0
2004,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,9.3
2005,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,8.4
2006,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,7.9
2007,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,7.3
2008,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,7.3
2009,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,7.4
2010,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,8.0
2011,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,10.0
2012,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,10.0
2013,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,9.4
2014,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,4.8
2015,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,5.0
2016,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,5.0
2017,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,5.4
2018,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,5.5
2019,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,5.4
2020,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,6.5
2021,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,7.3
2022,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Höherqualifizierende Berufsbildung,7.3
1999,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,14.8
2000,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,15.0
2001,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,15.6
2002,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,15.5
2003,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,16.1
2004,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,17.4
2005,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,17.7
2006,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,18.0
2007,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,19.2
