Year,Series,Units,Value
2008,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,21.2
2009,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,24.0
2010,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,25.9
2011,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,28.0
2012,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,30.0
2013,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,32.6
2014,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,34.8
2015,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,36.9
2016,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,38.8
2017,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,40.4
2018,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,42.1
2019,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,43.5
2020,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,43.7
2030,"Anteil der Kinder, deren Väter Elterngeld bezogen haben",Prozent,
2008,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,
2009,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,6.8
2010,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,7.0
2011,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,7.4
2012,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,7.7
2013,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,8.2
2014,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,8.6
2015,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,8.75
2016,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,9.12
2017,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,9.33
2018,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,9.48
2019,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,9.56
2020,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,9.6
2030,"Anteil der Elterngeldmonate, die von Vätern genommen wurden",Prozent,
