Year,Units,Value
1991,Prozent,24.891
1992,Prozent,25.201
1993,Prozent,24.056
1994,Prozent,24.141
1995,Prozent,23.539
1996,Prozent,23.027
1997,Prozent,22.651
1998,Prozent,22.798
1999,Prozent,23.039
2000,Prozent,23.114
2001,Prozent,21.778
2002,Prozent,20.122
2003,Prozent,19.523
2004,Prozent,19.091
2005,Prozent,19.077
2006,Prozent,19.803
2007,Prozent,20.057
2008,Prozent,20.303
2009,Prozent,19.268
2010,Prozent,19.543
2011,Prozent,20.371
2012,Prozent,20.321
2013,Prozent,19.901
2014,Prozent,20.04
2015,Prozent,20.02
2016,Prozent,20.298
2017,Prozent,20.411
2018,Prozent,21.065
2019,Prozent,21.316
2020,Prozent,21.541
2021,Prozent,21.299
2022,Prozent,22.085
2023,Prozent,21.941
