Year,Value,Units,Series
1990,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1991,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1992,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1993,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1994,116.598,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1995,110.944,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1996,109.076,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1997,107.48,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1998,107.768,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1999,108.692,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2000,109.088,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2001,107.864,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2002,108.198,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2003,107.682,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2004,104.92,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2005,102.33,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2006,103.108,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2007,102.03,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2008,101.574,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2009,98.794,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2010,96.366,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2011,96.498,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2012,95.052,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2013,93.56,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2014,94.316,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2015,97.272,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2016,96.282,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2017,96.194,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2018,94.884,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2019,92.946,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2020,88.004,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2021,81.57,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2022,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2023,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2030,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1990,141.46,Kilogramm pro Hektar,Berechnete jährliche Werte
1991,117.06,Kilogramm pro Hektar,Berechnete jährliche Werte
1992,111.91,Kilogramm pro Hektar,Berechnete jährliche Werte
1993,106.29,Kilogramm pro Hektar,Berechnete jährliche Werte
1994,106.27,Kilogramm pro Hektar,Berechnete jährliche Werte
1995,113.19,Kilogramm pro Hektar,Berechnete jährliche Werte
1996,107.72,Kilogramm pro Hektar,Berechnete jährliche Werte
1997,103.93,Kilogramm pro Hektar,Berechnete jährliche Werte
1998,107.73,Kilogramm pro Hektar,Berechnete jährliche Werte
1999,110.89,Kilogramm pro Hektar,Berechnete jährliche Werte
2000,115.17,Kilogramm pro Hektar,Berechnete jährliche Werte
2001,101.6,Kilogramm pro Hektar,Berechnete jährliche Werte
2002,105.6,Kilogramm pro Hektar,Berechnete jährliche Werte
2003,105.15,Kilogramm pro Hektar,Berechnete jährliche Werte
2004,97.08,Kilogramm pro Hektar,Berechnete jährliche Werte
2005,102.22,Kilogramm pro Hektar,Berechnete jährliche Werte
2006,105.49,Kilogramm pro Hektar,Berechnete jährliche Werte
2007,100.21,Kilogramm pro Hektar,Berechnete jährliche Werte
2008,102.87,Kilogramm pro Hektar,Berechnete jährliche Werte
2009,83.18,Kilogramm pro Hektar,Berechnete jährliche Werte
