Year,Value,Units,Series
2010,11.597,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2011,12.94,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2012,14.629,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2013,15.758,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2014,17.462,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2015,18.065,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2016,18.32,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2017,18.478,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2018,18.837,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2019,19.321,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2020,19.583,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2021,18.942,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2022,19.297,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2023,19.659,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2030,,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige
2010,32.321,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2011,34.879,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2012,37.05,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2013,39.266,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2014,41.67,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2015,44.404,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2016,44.756,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2017,45.511,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2018,46.132,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2019,47.178,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2020,47.913,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2021,47.324,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2022,47.353,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2023,47.003,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
2030,,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige
