Year,Units,Series,Value
1990,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
1991,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
1992,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
1993,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
1994,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,116.598
1995,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,110.944
1996,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,109.076
1997,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,107.48
1998,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,107.768
1999,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,108.692
2000,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,109.088
2001,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,107.864
2002,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,108.198
2003,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,107.682
2004,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,104.92
2005,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,102.33
2006,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,103.108
2007,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,102.03
2008,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,101.574
2009,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,98.794
2010,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,96.366
2011,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,96.498
2012,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,95.052
2013,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,93.56
2014,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,94.316
2015,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,97.272
2016,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,96.282
2017,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,96.194
2018,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,94.884
2019,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,92.946
2020,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,88.004
2021,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,81.57
2022,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
2023,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
2030,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr,
1990,kilogram per hectare,calculated annual values,141.46
1991,kilogram per hectare,calculated annual values,117.06
1992,kilogram per hectare,calculated annual values,111.91
1993,kilogram per hectare,calculated annual values,106.29
1994,kilogram per hectare,calculated annual values,106.27
1995,kilogram per hectare,calculated annual values,113.19
1996,kilogram per hectare,calculated annual values,107.72
1997,kilogram per hectare,calculated annual values,103.93
1998,kilogram per hectare,calculated annual values,107.73
1999,kilogram per hectare,calculated annual values,110.89
2000,kilogram per hectare,calculated annual values,115.17
2001,kilogram per hectare,calculated annual values,101.6
2002,kilogram per hectare,calculated annual values,105.6
2003,kilogram per hectare,calculated annual values,105.15
2004,kilogram per hectare,calculated annual values,97.08
2005,kilogram per hectare,calculated annual values,102.22
2006,kilogram per hectare,calculated annual values,105.49
2007,kilogram per hectare,calculated annual values,100.21
2008,kilogram per hectare,calculated annual values,102.87
2009,kilogram per hectare,calculated annual values,83.18
2010,kilogram per hectare,calculated annual values,90.08
2011,kilogram per hectare,calculated annual values,106.15
2012,kilogram per hectare,calculated annual values,92.98
2013,kilogram per hectare,calculated annual values,95.41
2014,kilogram per hectare,calculated annual values,86.96
2015,kilogram per hectare,calculated annual values,104.86
2016,kilogram per hectare,calculated annual values,101.2
2017,kilogram per hectare,calculated annual values,92.54
2018,kilogram per hectare,calculated annual values,88.86
2019,kilogram per hectare,calculated annual values,77.27
2020,kilogram per hectare,calculated annual values,80.15
2021,kilogram per hectare,calculated annual values,69.03
2030,kilogram per hectare,calculated annual values,
