Year,time series,Units,sex,Value
2011,,Anzahl,,201490.0
2012,,Anzahl,,197463.0
2013,,Anzahl,,197357.0
2014,,Anzahl,,188227.0
2015,,Anzahl,,190971.0
2016,,Anzahl,,185666.0
2017,,Anzahl,,182982.0
2018,,Anzahl,,184486.0
2019,,Anzahl,,178810.0
2020,,Anzahl,,187391.0
2021,,Anzahl,,203330.0
2011,,"per 100,000 inhabitants",,257.93
2012,,"per 100,000 inhabitants",,252.8
2013,,"per 100,000 inhabitants",,253.78
2014,,"per 100,000 inhabitants",,243.34
2015,,"per 100,000 inhabitants",,249.22
2016,,"per 100,000 inhabitants",,244.56
2017,,"per 100,000 inhabitants",,241.05
2018,,"per 100,000 inhabitants",,241.0
2019,,"per 100,000 inhabitants",,231.41
2020,,"per 100,000 inhabitants",,238.07
2021,,"per 100,000 inhabitants",,252.54
2030,,"per 100,000 inhabitants",,
2011,,Anzahl,Männer,130920.0
2012,,Anzahl,Männer,128083.0
2013,,Anzahl,Männer,127388.0
2014,,Anzahl,Männer,121696.0
2015,,Anzahl,Männer,122990.0
2016,,Anzahl,Männer,119291.0
2017,,Anzahl,Männer,117186.0
2018,,Anzahl,Männer,117914.0
2019,,Anzahl,Männer,114327.0
2020,,Anzahl,Männer,120640.0
2021,,Anzahl,Männer,131276.0
2011,,"per 100,000 inhabitants",Männer,347.65
2012,,"per 100,000 inhabitants",Männer,339.92
2013,,"per 100,000 inhabitants",Männer,339.09
2014,,"per 100,000 inhabitants",Männer,325.27
2015,,"per 100,000 inhabitants",Männer,331.35
2016,,"per 100,000 inhabitants",Männer,324.01
2017,,"per 100,000 inhabitants",Männer,318.21
2018,,"per 100,000 inhabitants",Männer,317.31
2019,,"per 100,000 inhabitants",Männer,304.8
2020,,"per 100,000 inhabitants",Männer,315.74
2021,,"per 100,000 inhabitants",Männer,336.34
2011,,Anzahl,Frauen,70570.0
2012,,Anzahl,Frauen,69380.0
2013,,Anzahl,Frauen,69969.0
2014,,Anzahl,Frauen,66531.0
2015,,Anzahl,Frauen,67981.0
2016,,Anzahl,Frauen,66375.0
2017,,Anzahl,Frauen,65796.0
2018,,Anzahl,Frauen,66572.0
2019,,Anzahl,Frauen,64483.0
2020,,Anzahl,Frauen,66751.0
2021,,Anzahl,Frauen,72054.0
2011,,"per 100,000 inhabitants",Frauen,174.27
2012,,"per 100,000 inhabitants",Frauen,171.48
2013,,"per 100,000 inhabitants",Frauen,174.01
2014,,"per 100,000 inhabitants",Frauen,166.63
2015,,"per 100,000 inhabitants",Frauen,172.15
2016,,"per 100,000 inhabitants",Frauen,169.95
2017,,"per 100,000 inhabitants",Frauen,168.64
2018,,"per 100,000 inhabitants",Frauen,169.34
2019,,"per 100,000 inhabitants",Frauen,162.47
2020,,"per 100,000 inhabitants",Frauen,165.1
2021,,"per 100,000 inhabitants",Frauen,173.86
2011,Durch Prävention vermeidbare Sterblichkeit,Anzahl,,127461.0
2012,Durch Prävention vermeidbare Sterblichkeit,Anzahl,,125457.5
2013,Durch Prävention vermeidbare Sterblichkeit,Anzahl,,126132.0
2014,Durch Prävention vermeidbare Sterblichkeit,Anzahl,,120737.5
