Year,Units,time series,Value
1991,"per 100,000 inhabitants",premature death (women),234.6
1992,"per 100,000 inhabitants",premature death (women),225.0
1993,"per 100,000 inhabitants",premature death (women),222.9
1994,"per 100,000 inhabitants",premature death (women),216.4
1995,"per 100,000 inhabitants",premature death (women),212.2
1996,"per 100,000 inhabitants",premature death (women),208.2
1997,"per 100,000 inhabitants",premature death (women),199.6
1998,"per 100,000 inhabitants",premature death (women),193.3
1999,"per 100,000 inhabitants",premature death (women),188.8
2000,"per 100,000 inhabitants",premature death (women),184.3
2001,"per 100,000 inhabitants",premature death (women),179.0
2002,"per 100,000 inhabitants",premature death (women),177.0
2003,"per 100,000 inhabitants",premature death (women),173.2
2004,"per 100,000 inhabitants",premature death (women),166.4
2005,"per 100,000 inhabitants",premature death (women),164.7
2006,"per 100,000 inhabitants",premature death (women),159.2
2007,"per 100,000 inhabitants",premature death (women),157.9
2008,"per 100,000 inhabitants",premature death (women),158.8
2009,"per 100,000 inhabitants",premature death (women),157.4
2010,"per 100,000 inhabitants",premature death (women),155.4
2011,"per 100,000 inhabitants",premature death (women),157.1
2012,"per 100,000 inhabitants",premature death (women),152.9
2013,"per 100,000 inhabitants",premature death (women),155.8
2014,"per 100,000 inhabitants",premature death (women),149.1
2015,"per 100,000 inhabitants",premature death (women),153.0
2016,"per 100,000 inhabitants",premature death (women),151.6
2017,"per 100,000 inhabitants",premature death (women),148.7
2018,"per 100,000 inhabitants",premature death (women),151.1
2019,"per 100,000 inhabitants",premature death (women),145.9
2020,"per 100,000 inhabitants",premature death (women),145.4
2021,"per 100,000 inhabitants",premature death (women),151.8
2022,"per 100,000 inhabitants",premature death (women),152.7
2030,"per 100,000 inhabitants",premature death (women),
1991,"per 100,000 inhabitants",premature death (men),491.9
1992,"per 100,000 inhabitants",premature death (men),476.2
1993,"per 100,000 inhabitants",premature death (men),471.5
1994,"per 100,000 inhabitants",premature death (men),461.0
1995,"per 100,000 inhabitants",premature death (men),451.4
1996,"per 100,000 inhabitants",premature death (men),439.4
1997,"per 100,000 inhabitants",premature death (men),422.0
1998,"per 100,000 inhabitants",premature death (men),404.3
1999,"per 100,000 inhabitants",premature death (men),391.7
2000,"per 100,000 inhabitants",premature death (men),381.8
2001,"per 100,000 inhabitants",premature death (men),366.5
2002,"per 100,000 inhabitants",premature death (men),360.0
2003,"per 100,000 inhabitants",premature death (men),355.5
2004,"per 100,000 inhabitants",premature death (men),337.3
2005,"per 100,000 inhabitants",premature death (men),329.4
2006,"per 100,000 inhabitants",premature death (men),318.4
2007,"per 100,000 inhabitants",premature death (men),312.9
2008,"per 100,000 inhabitants",premature death (men),307.8
2009,"per 100,000 inhabitants",premature death (men),304.8
2010,"per 100,000 inhabitants",premature death (men),300.6
2011,"per 100,000 inhabitants",premature death (men),298.7
2012,"per 100,000 inhabitants",premature death (men),292.3
2013,"per 100,000 inhabitants",premature death (men),291.9
2014,"per 100,000 inhabitants",premature death (men),281.2
2015,"per 100,000 inhabitants",premature death (men),288.1
2016,"per 100,000 inhabitants",premature death (men),283.8
2017,"per 100,000 inhabitants",premature death (men),276.0
2018,"per 100,000 inhabitants",premature death (men),279.3
2019,"per 100,000 inhabitants",premature death (men),271.0
2020,"per 100,000 inhabitants",premature death (men),276.3
2021,"per 100,000 inhabitants",premature death (men),289.9
2022,"per 100,000 inhabitants",premature death (men),283.7
2030,"per 100,000 inhabitants",premature death (men),
