Year,Units,Series,Value
2008,2008 = 100,final energy productivity,100.0
2009,2008 = 100,final energy productivity,100.481
2010,2008 = 100,final energy productivity,98.181
2011,2008 = 100,final energy productivity,106.199
2012,2008 = 100,final energy productivity,105.685
2013,2008 = 100,final energy productivity,103.932
2014,2008 = 100,final energy productivity,112.208
2015,2008 = 100,final energy productivity,110.543
2016,2008 = 100,final energy productivity,112.086
2017,2008 = 100,final energy productivity,114.05
2018,2008 = 100,final energy productivity,116.599
2019,2008 = 100,final energy productivity,117.96
2020,2008 = 100,final energy productivity,121.194
2021,2008 = 100,final energy productivity,120.506
2022,2008 = 100,final energy productivity,126.482
2008,2008 = 100,primary energy consumption,100.0
2009,2008 = 100,primary energy consumption,93.945
2010,2008 = 100,primary energy consumption,98.304
2011,2008 = 100,primary energy consumption,94.048
2012,2008 = 100,primary energy consumption,94.75
2013,2008 = 100,primary energy consumption,96.71
2014,2008 = 100,primary energy consumption,92.085
2015,2008 = 100,primary energy consumption,93.031
2016,2008 = 100,primary energy consumption,93.905
2017,2008 = 100,primary energy consumption,94.062
2018,2008 = 100,primary energy consumption,91.704
2019,2008 = 100,primary energy consumption,89.132
2020,2008 = 100,primary energy consumption,82.719
2021,2008 = 100,primary energy consumption,86.59
2022,2008 = 100,primary energy consumption,81.254
2023,2008 = 100,primary energy consumption,74.705
2030,2008 = 100,primary energy consumption,
