Year,Units,Value
1991,percentage,39.0
1992,percentage,41.5
1993,percentage,45.1
1994,percentage,47.5
1995,percentage,54.9
1996,percentage,57.8
1997,percentage,58.9
1998,percentage,59.5
1999,percentage,60.4
2000,percentage,59.3
2001,percentage,58.2
2002,percentage,59.9
2003,percentage,63.5
2004,percentage,65.2
2005,percentage,67.5
2006,percentage,66.9
2007,percentage,64.2
2008,percentage,65.7
2009,percentage,73.2
2010,percentage,82.0
2011,percentage,79.4
2012,percentage,80.7
2013,percentage,78.3
2014,percentage,75.3
2015,percentage,71.9
2016,percentage,69.0
2017,percentage,65.2
2018,percentage,61.9
2019,percentage,59.5
2020,percentage,68.7
2021,percentage,69.0
2022,percentage,66.1
