Year,Units,Value
1991,percentage,24.891
1992,percentage,25.201
1993,percentage,24.056
1994,percentage,24.141
1995,percentage,23.539
1996,percentage,23.027
1997,percentage,22.651
1998,percentage,22.798
1999,percentage,23.039
2000,percentage,23.114
2001,percentage,21.778
2002,percentage,20.122
2003,percentage,19.523
2004,percentage,19.091
2005,percentage,19.077
2006,percentage,19.803
2007,percentage,20.057
2008,percentage,20.303
2009,percentage,19.268
2010,percentage,19.543
2011,percentage,20.371
2012,percentage,20.321
2013,percentage,19.901
2014,percentage,20.04
2015,percentage,20.02
2016,percentage,20.298
2017,percentage,20.411
2018,percentage,21.065
2019,percentage,21.316
2020,percentage,21.541
2021,percentage,21.299
2022,percentage,22.085
2023,percentage,21.941
