Year,Units,Value
1991,1.000 eur,27.744
1992,1.000 eur,28.092
1993,1.000 eur,27.665
1994,1.000 eur,28.256
1995,1.000 eur,28.636
1996,1.000 eur,28.81
1997,1.000 eur,29.311
1998,1.000 eur,29.925
1999,1.000 eur,30.498
2000,1.000 eur,31.373
2001,1.000 eur,31.877
2002,1.000 eur,31.79
2003,1.000 eur,31.579
2004,1.000 eur,31.987
2005,1.000 eur,32.268
2006,1.000 eur,33.567
2007,1.000 eur,34.643
2008,1.000 eur,35.075
2009,1.000 eur,33.193
2010,1.000 eur,34.666
2011,1.000 eur,36.031
2012,1.000 eur,36.114
2013,1.000 eur,36.173
2014,1.000 eur,36.818
2015,1.000 eur,37.046
2016,1.000 eur,37.567
2017,1.000 eur,38.43
2018,1.000 eur,38.691
2019,1.000 eur,39.02
2020,1.000 eur,37.496
2021,1.000 eur,38.666
2022,1.000 eur,39.081
