Year,Units,Series,sex,Value
2000,percentage,Insgesamt (20- bis 64-Jährige),,68.7
2001,percentage,Insgesamt (20- bis 64-Jährige),,69.1
2002,percentage,Insgesamt (20- bis 64-Jährige),,68.8
2003,percentage,Insgesamt (20- bis 64-Jährige),,68.4
2004,percentage,Insgesamt (20- bis 64-Jährige),,67.9
2005,percentage,Insgesamt (20- bis 64-Jährige),,69.4
2006,percentage,Insgesamt (20- bis 64-Jährige),,71.1
2007,percentage,Insgesamt (20- bis 64-Jährige),,72.9
2008,percentage,Insgesamt (20- bis 64-Jährige),,74.0
2009,percentage,Insgesamt (20- bis 64-Jährige),,74.2
2010,percentage,Insgesamt (20- bis 64-Jährige),,75.0
2011,percentage,Insgesamt (20- bis 64-Jährige),,76.5
2012,percentage,Insgesamt (20- bis 64-Jährige),,76.9
2013,percentage,Insgesamt (20- bis 64-Jährige),,77.3
2014,percentage,Insgesamt (20- bis 64-Jährige),,77.7
2015,percentage,Insgesamt (20- bis 64-Jährige),,78.0
2016,percentage,Insgesamt (20- bis 64-Jährige),,78.6
2017,percentage,Insgesamt (20- bis 64-Jährige),,79.2
2018,percentage,Insgesamt (20- bis 64-Jährige),,79.9
2019,percentage,Insgesamt (20- bis 64-Jährige),,80.6
2020,percentage,Insgesamt (20- bis 64-Jährige),,79.2
2021,percentage,Insgesamt (20- bis 64-Jährige),,79.4
2022,percentage,Insgesamt (20- bis 64-Jährige),,80.7
2030,percentage,Insgesamt (20- bis 64-Jährige),,
2000,percentage,Insgesamt (20- bis 64-Jährige),female,60.7
2001,percentage,Insgesamt (20- bis 64-Jährige),female,61.6
2002,percentage,Insgesamt (20- bis 64-Jährige),female,61.8
2003,percentage,Insgesamt (20- bis 64-Jährige),female,62.0
2004,percentage,Insgesamt (20- bis 64-Jährige),female,61.8
2005,percentage,Insgesamt (20- bis 64-Jährige),female,63.1
2006,percentage,Insgesamt (20- bis 64-Jährige),female,65.0
2007,percentage,Insgesamt (20- bis 64-Jährige),female,66.7
2008,percentage,Insgesamt (20- bis 64-Jährige),female,67.8
2009,percentage,Insgesamt (20- bis 64-Jährige),female,68.7
2010,percentage,Insgesamt (20- bis 64-Jährige),female,69.7
2011,percentage,Insgesamt (20- bis 64-Jährige),female,71.3
2012,percentage,Insgesamt (20- bis 64-Jährige),female,71.6
2013,percentage,Insgesamt (20- bis 64-Jährige),female,72.5
2014,percentage,Insgesamt (20- bis 64-Jährige),female,73.1
2015,percentage,Insgesamt (20- bis 64-Jährige),female,73.6
2016,percentage,Insgesamt (20- bis 64-Jährige),female,74.5
2017,percentage,Insgesamt (20- bis 64-Jährige),female,75.2
2018,percentage,Insgesamt (20- bis 64-Jährige),female,75.8
2019,percentage,Insgesamt (20- bis 64-Jährige),female,76.6
2020,percentage,Insgesamt (20- bis 64-Jährige),female,75.4
2021,percentage,Insgesamt (20- bis 64-Jährige),female,75.6
2022,percentage,Insgesamt (20- bis 64-Jährige),female,76.8
2000,percentage,Insgesamt (20- bis 64-Jährige),male,76.5
2001,percentage,Insgesamt (20- bis 64-Jährige),male,76.4
2002,percentage,Insgesamt (20- bis 64-Jährige),male,75.6
2003,percentage,Insgesamt (20- bis 64-Jährige),male,74.8
2004,percentage,Insgesamt (20- bis 64-Jährige),male,74.0
2005,percentage,Insgesamt (20- bis 64-Jährige),male,75.6
2006,percentage,Insgesamt (20- bis 64-Jährige),male,77.2
2007,percentage,Insgesamt (20- bis 64-Jährige),male,79.1
2008,percentage,Insgesamt (20- bis 64-Jährige),male,80.1
2009,percentage,Insgesamt (20- bis 64-Jährige),male,79.6
2010,percentage,Insgesamt (20- bis 64-Jährige),male,80.4
2011,percentage,Insgesamt (20- bis 64-Jährige),male,81.7
2012,percentage,Insgesamt (20- bis 64-Jährige),male,82.1
2013,percentage,Insgesamt (20- bis 64-Jährige),male,82.1
2014,percentage,Insgesamt (20- bis 64-Jährige),male,82.2
2015,percentage,Insgesamt (20- bis 64-Jährige),male,82.3
2016,percentage,Insgesamt (20- bis 64-Jährige),male,82.7
2017,percentage,Insgesamt (20- bis 64-Jährige),male,83.1
2018,percentage,Insgesamt (20- bis 64-Jährige),male,83.9
2019,percentage,Insgesamt (20- bis 64-Jährige),male,84.6
2020,percentage,Insgesamt (20- bis 64-Jährige),male,83.0
2021,percentage,Insgesamt (20- bis 64-Jährige),male,83.0
2022,percentage,Insgesamt (20- bis 64-Jährige),male,84.6
2000,percentage,Ältere (55- bis 64-Jährige),,37.4
2001,percentage,Ältere (55- bis 64-Jährige),,37.7
2002,percentage,Ältere (55- bis 64-Jährige),,38.4
2003,percentage,Ältere (55- bis 64-Jährige),,39.4
2004,percentage,Ältere (55- bis 64-Jährige),,41.4
2005,percentage,Ältere (55- bis 64-Jährige),,45.5
2006,percentage,Ältere (55- bis 64-Jährige),,48.1
2007,percentage,Ältere (55- bis 64-Jährige),,51.3
2008,percentage,Ältere (55- bis 64-Jährige),,53.7
2009,percentage,Ältere (55- bis 64-Jährige),,56.1
2010,percentage,Ältere (55- bis 64-Jährige),,57.8
2011,percentage,Ältere (55- bis 64-Jährige),,60.0
2012,percentage,Ältere (55- bis 64-Jährige),,61.6
2013,percentage,Ältere (55- bis 64-Jährige),,63.6
2014,percentage,Ältere (55- bis 64-Jährige),,65.6
2015,percentage,Ältere (55- bis 64-Jährige),,66.2
2016,percentage,Ältere (55- bis 64-Jährige),,68.6
2017,percentage,Ältere (55- bis 64-Jährige),,70.1
2018,percentage,Ältere (55- bis 64-Jährige),,71.4
2019,percentage,Ältere (55- bis 64-Jährige),,72.7
2020,percentage,Ältere (55- bis 64-Jährige),,71.7
2021,percentage,Ältere (55- bis 64-Jährige),,71.8
2022,percentage,Ältere (55- bis 64-Jährige),,73.3
2030,percentage,Ältere (55- bis 64-Jährige),,
2000,percentage,Ältere (55- bis 64-Jährige),female,28.7
2001,percentage,Ältere (55- bis 64-Jährige),female,29.3
2002,percentage,Ältere (55- bis 64-Jährige),female,29.8
2003,percentage,Ältere (55- bis 64-Jährige),female,31.2
2004,percentage,Ältere (55- bis 64-Jährige),female,33.1
2005,percentage,Ältere (55- bis 64-Jährige),female,37.6
2006,percentage,Ältere (55- bis 64-Jährige),female,40.3
2007,percentage,Ältere (55- bis 64-Jährige),female,43.4
2008,percentage,Ältere (55- bis 64-Jährige),female,46.0
2009,percentage,Ältere (55- bis 64-Jährige),female,48.6
2010,percentage,Ältere (55- bis 64-Jährige),female,50.7
2011,percentage,Ältere (55- bis 64-Jährige),female,53.2
2012,percentage,Ältere (55- bis 64-Jährige),female,54.9
2013,percentage,Ältere (55- bis 64-Jährige),female,57.6
2014,percentage,Ältere (55- bis 64-Jährige),female,60.0
2015,percentage,Ältere (55- bis 64-Jährige),female,61.2
2016,percentage,Ältere (55- bis 64-Jährige),female,63.5
2017,percentage,Ältere (55- bis 64-Jährige),female,65.4
2018,percentage,Ältere (55- bis 64-Jährige),female,66.9
2019,percentage,Ältere (55- bis 64-Jährige),female,68.4
2020,percentage,Ältere (55- bis 64-Jährige),female,67.8
2021,percentage,Ältere (55- bis 64-Jährige),female,67.7
2022,percentage,Ältere (55- bis 64-Jährige),female,69.5
2000,percentage,Ältere (55- bis 64-Jährige),male,46.2
2001,percentage,Ältere (55- bis 64-Jährige),male,46.1
2002,percentage,Ältere (55- bis 64-Jährige),male,47.1
2003,percentage,Ältere (55- bis 64-Jährige),male,47.7
2004,percentage,Ältere (55- bis 64-Jährige),male,49.8
2005,percentage,Ältere (55- bis 64-Jährige),male,53.6
2006,percentage,Ältere (55- bis 64-Jährige),male,56.1
2007,percentage,Ältere (55- bis 64-Jährige),male,59.4
2008,percentage,Ältere (55- bis 64-Jährige),male,61.7
2009,percentage,Ältere (55- bis 64-Jährige),male,63.8
2010,percentage,Ältere (55- bis 64-Jährige),male,65.2
2011,percentage,Ältere (55- bis 64-Jährige),male,67.1
2012,percentage,Ältere (55- bis 64-Jährige),male,68.6
2013,percentage,Ältere (55- bis 64-Jährige),male,69.9
2014,percentage,Ältere (55- bis 64-Jährige),male,71.4
2015,percentage,Ältere (55- bis 64-Jährige),male,71.3
2016,percentage,Ältere (55- bis 64-Jährige),male,73.7
2017,percentage,Ältere (55- bis 64-Jährige),male,75.0
2018,percentage,Ältere (55- bis 64-Jährige),male,76.1
2019,percentage,Ältere (55- bis 64-Jährige),male,77.1
2020,percentage,Ältere (55- bis 64-Jährige),male,75.5
2021,percentage,Ältere (55- bis 64-Jährige),male,75.9
2022,percentage,Ältere (55- bis 64-Jährige),male,77.2
