Year,Units,Value
1991,percentage,2.4
1992,percentage,2.28
1993,percentage,2.21
1994,percentage,2.13
1995,percentage,2.14
1996,percentage,2.19
1997,percentage,2.35
1998,percentage,2.41
1999,percentage,2.4
2000,percentage,2.44
2001,percentage,2.4
2002,percentage,2.44
2003,percentage,2.47
2004,percentage,2.44
2005,percentage,2.44
2006,percentage,2.47
2007,percentage,2.46
2008,percentage,2.62
2009,percentage,2.74
2010,percentage,2.73
2011,percentage,2.81
2012,percentage,2.88
2013,percentage,2.84
2014,percentage,2.88
2015,percentage,2.93
2016,percentage,2.94
2017,percentage,3.05
2018,percentage,3.11
2019,percentage,3.17
2020,percentage,3.13
2021,percentage,3.13
2022,percentage,3.13
2025,percentage,
