Year,Value,Units,Series
1990,,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1991,,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1992,,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1993,,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1994,116.598,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1995,110.944,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1996,109.076,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1997,107.48,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1998,107.768,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1999,108.692,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2000,109.088,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2001,107.864,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2002,108.198,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2003,107.682,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2004,104.92,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2005,102.33,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2006,103.108,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2007,102.03,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2008,101.574,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2009,98.794,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2010,96.366,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2011,96.498,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2012,95.052,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2013,93.56,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2014,94.316,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2015,97.272,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2016,96.282,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2017,96.194,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2018,94.884,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2019,92.946,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2020,88.004,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2021,81.57,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2022,,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2023,,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
2030,,kilogram per hectare,Gleitender Fünfjahresdurchschnitt mit Bezug auf das Endjahr
1990,141.46,kilogram per hectare,calculated annual values
1991,117.06,kilogram per hectare,calculated annual values
1992,111.91,kilogram per hectare,calculated annual values
1993,106.29,kilogram per hectare,calculated annual values
1994,106.27,kilogram per hectare,calculated annual values
1995,113.19,kilogram per hectare,calculated annual values
1996,107.72,kilogram per hectare,calculated annual values
1997,103.93,kilogram per hectare,calculated annual values
1998,107.73,kilogram per hectare,calculated annual values
1999,110.89,kilogram per hectare,calculated annual values
2000,115.17,kilogram per hectare,calculated annual values
2001,101.6,kilogram per hectare,calculated annual values
2002,105.6,kilogram per hectare,calculated annual values
2003,105.15,kilogram per hectare,calculated annual values
2004,97.08,kilogram per hectare,calculated annual values
2005,102.22,kilogram per hectare,calculated annual values
2006,105.49,kilogram per hectare,calculated annual values
2007,100.21,kilogram per hectare,calculated annual values
2008,102.87,kilogram per hectare,calculated annual values
2009,83.18,kilogram per hectare,calculated annual values
2010,90.08,kilogram per hectare,calculated annual values
2011,106.15,kilogram per hectare,calculated annual values
2012,92.98,kilogram per hectare,calculated annual values
2013,95.41,kilogram per hectare,calculated annual values
2014,86.96,kilogram per hectare,calculated annual values
2015,104.86,kilogram per hectare,calculated annual values
2016,101.2,kilogram per hectare,calculated annual values
2017,92.54,kilogram per hectare,calculated annual values
2018,88.86,kilogram per hectare,calculated annual values
2019,77.27,kilogram per hectare,calculated annual values
2020,80.15,kilogram per hectare,calculated annual values
2021,69.03,kilogram per hectare,calculated annual values
2030,,kilogram per hectare,calculated annual values
