Year,Value,Units
2011,201490.0,Anzahl
2012,197463.0,Anzahl
2013,197357.0,Anzahl
2014,188227.0,Anzahl
2015,190971.0,Anzahl
2016,185666.0,Anzahl
2017,182982.0,Anzahl
2018,184486.0,Anzahl
2019,178810.0,Anzahl
2020,187391.0,Anzahl
2021,203330.0,Anzahl
2011,257.93,"per 100,000 inhabitants"
2012,252.8,"per 100,000 inhabitants"
2013,253.78,"per 100,000 inhabitants"
2014,243.34,"per 100,000 inhabitants"
2015,249.22,"per 100,000 inhabitants"
2016,244.56,"per 100,000 inhabitants"
2017,241.05,"per 100,000 inhabitants"
2018,241.0,"per 100,000 inhabitants"
2019,231.41,"per 100,000 inhabitants"
2020,238.07,"per 100,000 inhabitants"
2021,252.54,"per 100,000 inhabitants"
2030,,"per 100,000 inhabitants"
