Year,Value,Units,Series
1999,33.4,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2000,33.0,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2001,33.2,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2002,33.3,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2003,33.9,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2004,36.2,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2005,36.0,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2006,36.5,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2007,37.6,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2008,38.8,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2009,40.7,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2010,41.3,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2011,42.2,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2012,43.4,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2013,44.5,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2014,45.7,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2015,46.8,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2016,47.9,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2017,48.8,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2018,49.8,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2019,50.5,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2020,52.3,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2021,53.5,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2022,53.4,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
2030,,percentage,Tertiärer oder postsekundarer nicht-tertiärer Abschluss
1999,49.4,percentage,Fachkräftepotential mit beruflichem Abschluss
2000,49.3,percentage,Fachkräftepotential mit beruflichem Abschluss
2001,49.7,percentage,Fachkräftepotential mit beruflichem Abschluss
2002,48.9,percentage,Fachkräftepotential mit beruflichem Abschluss
2003,48.6,percentage,Fachkräftepotential mit beruflichem Abschluss
2004,46.5,percentage,Fachkräftepotential mit beruflichem Abschluss
2005,44.7,percentage,Fachkräftepotential mit beruflichem Abschluss
2006,44.0,percentage,Fachkräftepotential mit beruflichem Abschluss
2007,43.5,percentage,Fachkräftepotential mit beruflichem Abschluss
2008,42.9,percentage,Fachkräftepotential mit beruflichem Abschluss
2009,41.2,percentage,Fachkräftepotential mit beruflichem Abschluss
2010,41.1,percentage,Fachkräftepotential mit beruflichem Abschluss
2011,40.5,percentage,Fachkräftepotential mit beruflichem Abschluss
2012,39.4,percentage,Fachkräftepotential mit beruflichem Abschluss
2013,38.7,percentage,Fachkräftepotential mit beruflichem Abschluss
2014,38.0,percentage,Fachkräftepotential mit beruflichem Abschluss
2015,36.9,percentage,Fachkräftepotential mit beruflichem Abschluss
2016,35.2,percentage,Fachkräftepotential mit beruflichem Abschluss
2017,34.3,percentage,Fachkräftepotential mit beruflichem Abschluss
2018,33.1,percentage,Fachkräftepotential mit beruflichem Abschluss
2019,32.2,percentage,Fachkräftepotential mit beruflichem Abschluss
2020,28.8,percentage,Fachkräftepotential mit beruflichem Abschluss
2021,26.0,percentage,Fachkräftepotential mit beruflichem Abschluss
2022,24.5,percentage,Fachkräftepotential mit beruflichem Abschluss
